"id","username","tag","playtime","matches","rating","level","loses","damage_round","headshot","win","wins","kills","deaths","assists","kad_ratio","kills_round","clutches","top_agents_1","top_hours_agent_1","top_matches_agent_1","top_win_agent_1","top_kd_agent_1","top_weapon_1","top_weapon_headshot_1","top_weapon_2","top_weapon_headshot_2","top_maps_1","top_porcentagem_map_win_1"
1,"globeX ","meow","1,403h Playtime ","2,505 Matches ","1,063","470","1012","157.1","23.6%","58.2%","1,457","45,335","36,383","12,918","{1.60}","{0.9}","{668}","{Omen}","{""256 hours""}","{450}","55.3%","{1.20}","Vandal","36%","Phantom","32%","Sunset","75.3%"
2,"twitch azrex ","000","2,433h Playtime ","4,475 Matches ","1,025","483","2124","154.2","24.0%","51.7%","2,312","83,925","71,028","14,868","{1.39}","{0.9}","{861}","{Jett}","{""1,667 hours""}","{""3,073""}","52.1%","{1.21}",NULL,NULL,NULL,NULL,NULL,NULL
3,"lovers rock ","133","3,487h Playtime ","6,206 Matches ","1,023","649","2836","152.6","26.2%","52.8%","3,278","113,445","95,078","20,340","{1.41}","{0.9}","{""1,511""}","{Jett}","{""2,369 hours""}","{""4,233""}","53.8%","{1.24}","Vandal","51%","Operator","6%","Sunset","69.3%"
4,"primmieyk ","XGOD","1,910h Playtime ","3,499 Matches ","1,012","409","1432","169.9","38.0%","58.6%","2,050","69,903","52,296","13,530","{1.60}","{0.9}","{990}","{Jett}","{""555 hours""}","{""1,024""}","60.3%","{1.41}",NULL,NULL,NULL,NULL,NULL,NULL
5,"Ruzgar ","DARK","359h Playtime ","662 Matches ","1,008","93","241","168.4","27.1%","62.1%","411","12,961","10,424","2,740","{1.51}","{0.9}","{113}","{Jett}","{""81 hours""}","{156}","69.2%","{1.31}","Vandal","41%","Ghost","42%","Fracture","100.0%"
6,"gui ","2007","3,752h Playtime ","6,849 Matches ","983","730","3201","158.5","22.9%","51.7%","3,539","126,831","113,525","25,643","{1.34}","{0.9}","{""1,062""}","{Reyna}","{""1,912 hours""}","{""3,488""}","52.0%","{1.15}","Vandal","34%","Spectre","16%","Sunset","56.7%"
7,"ZachKappa ","EUW","2,378h Playtime ","4,150 Matches ","982","556","1846","154.6","25.8%","54.2%","2,251","73,096","61,476","19,181","{1.50}","{0.8}","{""1,143""}","{Jett}","{""471 hours""}","{821}","52.9%","{1.23}","Vandal","43%","Phantom","33%","Sunset","62.0%"
8,"HOWL xeus ","1TAP","1,256h Playtime ","2,272 Matches ","967","392","905","173.4","37.2%","58.8%","1,336","45,001","34,700","8,688","{1.55}","{0.9}","{455}","{Jett}","{""575 hours""}","{""1,043""}","61.6%","{1.32}",NULL,NULL,NULL,NULL,NULL,NULL
9,"exa ","v1c","2,438h Playtime ","4,457 Matches ","961","521","2056","143.7","24.0%","53.0%","2,361","72,477","71,197","27,821","{1.41}","{0.8}","{882}","{Jett}","{""298 hours""}","{548}","52.4%","{1.04}",NULL,NULL,NULL,NULL,NULL,NULL
10,"2G silentzz ","mari","3,164h Playtime ","5,588 Matches ","927","735","2511","164.0","29.8%","53.6%","2,996","107,798","89,155","22,191","{1.46}","{0.9}","{""1,011""}","{Jett}","{""1,469 hours""}","{""2,600""}","51.7%","{1.20}",NULL,NULL,NULL,NULL,NULL,NULL
11,"batujnax 嫌い ","2005","4,549h Playtime ","8,102 Matches ","949","918","3709","144.4","21.1%","53.0%","4,294","133,322","128,877","46,955","{1.40}","{0.8}","{""2,138""}","{Jett}","{""771 hours""}","{""1,387""}","53.2%","{1.08}",NULL,NULL,NULL,NULL,NULL,NULL
12,"Liquid Ac relax ","flore","1,613h Playtime ","2,915 Matches ","944","329","1326","154.4","36.5%","53.7%","1,566","51,583","43,556","15,361","{1.54}","{0.8}","{744}","{Sova}","{""431 hours""}","{790}","57.5%","{1.25}",NULL,NULL,NULL,NULL,NULL,NULL
13,"TH Wo0t ","Lax","2,015h Playtime ","3,660 Matches ","959","494","1481","167.9","33.8%","58.5%","2,142","70,414","56,353","18,815","{1.58}","{0.9}","{767}","{Jett}","{""391 hours""}","{704}","57.8%","{1.28}",NULL,NULL,NULL,NULL,NULL,NULL
14,"drepeexy0y0 ","1760","723h Playtime ","1,296 Matches ","942","235","551","139.9","28.7%","56.6%","734","20,770","18,514","4,760","{1.38}","{0.8}","{360}","{Killjoy}","{""288 hours""}","{517}","58.6%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
15,"evy ","GEAR5","2,060h Playtime ","3,724 Matches ","934","532","1735","157.6","32.2%","52.5%","1,955","68,816","59,247","14,236","{1.40}","{0.9}","{833}","{Reyna}","{""574 hours""}","{""1,040""}","54.4%","{1.22}","Vandal","48%","Phantom","38%","Lotus","59.9%"
16,"NOM Szimpli ","0427","496h Playtime ","902 Matches ","926","304","393","173.2","29.7%","55.1%","497","17,943","14,101","3,643","{1.53}","{0.9}","{195}","{Raze}","{""175 hours""}","{319}","57.1%","{1.30}",NULL,NULL,NULL,NULL,NULL,NULL
17,"SLY Sevire ","023","1,646h Playtime ","2,969 Matches ","924","420","1342","151.5","26.3%","53.8%","1,597","51,493","46,350","14,468","{1.42}","{0.8}","{653}","{Jett}","{""406 hours""}","{737}","52.5%","{1.17}","Vandal","41%","Phantom","34%","Sunset","65.6%"
18,"EX0 Pyrolll ","kanao","2,954h Playtime ","5,295 Matches ","923","623","2304","154.3","29.0%","55.1%","2,918","92,412","78,555","26,326","{1.51}","{0.8}","{""1,328""}","{Jett}","{""687 hours""}","{""1,242""}","54.9%","{1.19}","Vandal","45%","Phantom","33%","Sunset","64.2%"
19,"gosaydam ","0707","2,666h Playtime ","4,744 Matches ","921","647","2230","141.6","23.1%","51.6%","2,448","78,206","73,060","24,518","{1.41}","{0.8}","{""1,223""}","{Sova}","{""784 hours""}","{""1,398""}","55.5%","{1.09}",NULL,NULL,NULL,NULL,NULL,NULL
20,"ind ","666","2,291h Playtime ","3,983 Matches ","920","670","1824","155.4","25.8%","52.6%","2,096","72,956","63,351","13,892","{1.37}","{0.9}","{890}","{Jett}","{""1,097 hours""}","{""1,903""}","55.1%","{1.18}","Vandal","40%","Phantom","32%","Ascent","56.5%"
21,"BBL Brave ","eren","1,506h Playtime ","2,696 Matches ","919","433","1200","161.6","32.5%","54.0%","1,456","50,246","43,323","11,768","{1.43}","{0.9}","{512}","{Reyna}","{""302 hours""}","{538}","55.4%","{1.22}","Vandal","46%","Phantom","40%","Lotus","59.4%"
22,"BBL Elite ","MVP","2,275h Playtime ","4,036 Matches ","918","635","1603","162.8","39.0%","59.1%","2,387","77,242","61,314","15,434","{1.51}","{0.9}","{""1,017""}","{Reyna}","{""350 hours""}","{626}","57.7%","{1.31}","Vandal","54%","Ghost","55%","Lotus","68.9%"
23,"mmm ","Irean","1,548h Playtime ","2,798 Matches ","913","412","1343","142.6","21.8%","50.8%","1,420","45,139","41,672","13,248","{1.40}","{0.8}","{778}","{Killjoy}","{""250 hours""}","{439}","52.8%","{1.15}","Vandal","33%","Phantom","28%","Lotus","67.2%"
24,"DRX Leviathan ","V S","1,687h Playtime ","2,949 Matches ","911","428","1384","143.9","21.2%","51.9%","1,531","49,850","44,154","12,500","{1.41}","{0.8}","{837}","{Jett}","{""755 hours""}","{""1,315""}","55.3%","{1.22}",NULL,NULL,NULL,NULL,NULL,NULL
25,"DRX ZynX ","V S","679h Playtime ","1,217 Matches ","904","231","530","153.2","33.8%","55.3%","673","21,455","18,987","4,580","{1.37}","{0.8}","{274}","{Cypher}","{""119 hours""}","{218}","53.7%","{1.12}","Vandal","49%","Phantom","39%","Fracture","60.5%"
26,"phc ","18y","2,938h Playtime ","5,181 Matches ","899","567","2431","157.1","25.4%","51.6%","2,672","91,761","80,080","27,189","{1.49}","{0.8}","{""1,100""}","{Jett}","{""650 hours""}","{""1,153""}","50.7%","{1.15}",NULL,NULL,NULL,NULL,NULL,NULL
27,"JJH Minimise ","bonk","1,793h Playtime ","3,203 Matches ","897","404","1520","145.5","22.2%","51.2%","1,640","53,507","50,855","17,669","{1.40}","{0.8}","{777}","{Skye}","{""217 hours""}","{399}","53.4%","{1.04}","Vandal","33%","Phantom","29%","Sunset","61.3%"
28,"Carlos Sainz Jr ","tess","1,427h Playtime ","2,592 Matches ","894","410","1154","148.4","34.0%","54.6%","1,415","44,394","40,064","13,255","{1.44}","{0.8}","{589}","{Sova}","{""537 hours""}","{985}","56.4%","{1.12}","Vandal","47%","Phantom","43%","Breeze","58.6%"
29,"basbabe ","uwu","3,550h Playtime ","6,487 Matches ","891","657","3135","148.7","28.2%","50.8%","3,296","112,705","101,377","35,622","{1.46}","{0.8}","{""1,614""}","{Jett}","{""490 hours""}","{899}","51.3%","{1.16}",NULL,NULL,NULL,NULL,NULL,NULL
30,"100T bang ","0000","2,922h Playtime ","5,307 Matches ","867","765","2306","157.3","36.1%","55.5%","2,944","98,047","81,826","29,303","{1.56}","{0.9}","{""1,310""}","{Omen}","{""739 hours""}","{""1,343""}","57.0%","{1.21}",NULL,NULL,NULL,NULL,NULL,NULL
31,"Smoke ","jamon","2,907h Playtime ","5,169 Matches ","888","546","2414","149.0","22.3%","52.0%","2,690","91,928","79,133","21,242","{1.43}","{0.8}","{""1,417""}","{Jett}","{""887 hours""}","{""1,571""}","54.0%","{1.22}",NULL,NULL,NULL,NULL,NULL,NULL
32,"GX Cloud ","001","1,475h Playtime ","2,598 Matches ","884","386","1030","159.0","33.1%","59.5%","1,546","47,802","38,161","13,386","{1.60}","{0.9}","{707}","{Sova}","{""214 hours""}","{378}","59.8%","{1.31}",NULL,NULL,NULL,NULL,NULL,NULL
33,"xenp1o ","000","2,771h Playtime ","4,882 Matches ","880","719","2358","143.7","23.8%","50.5%","2,466","78,220","69,875","25,080","{1.48}","{0.8}","{""1,420""}","{Killjoy}","{""548 hours""}","{958}","52.2%","{1.17}","Vandal","35%","Phantom","28%","Pearl","63.5%"
34,"LFT Will ","bang","1,177h Playtime ","2,144 Matches ","855","384","966","153.9","19.8%","53.8%","1,153","38,066","33,284","11,069","{1.48}","{0.8}","{440}","{Raze}","{""348 hours""}","{636}","56.1%","{1.18}",NULL,NULL,NULL,NULL,NULL,NULL
35,"furbsa ","cam","2,339h Playtime ","4,256 Matches ","878","570","1858","160.6","33.0%","55.7%","2,369","78,420","66,694","17,498","{1.44}","{0.9}","{853}","{Jett}","{""835 hours""}","{""1,531""}","56.6%","{1.20}",NULL,NULL,NULL,NULL,NULL,NULL
36,"RBTE jannyXD ","carro","2,585h Playtime ","4,659 Matches ","892","708","2025","169.3","27.7%","55.4%","2,581","92,749","75,235","22,464","{1.53}","{0.9}","{877}","{Jett}","{""1,095 hours""}","{""1,995""}","56.6%","{1.28}","Vandal","43%","Phantom","34%","Lotus","63.5%"
37,"G2 shhhack ","6966","3,121h Playtime ","5,400 Matches ","876","749","2638","137.0","27.4%","50.1%","2,704","85,951","79,699","28,278","{1.43}","{0.7}","{""1,656""}","{Omen}","{""408 hours""}","{713}","49.8%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
38,"grumble ","1111","2,652h Playtime ","4,872 Matches ","873","628","2137","154.0","33.9%","55.5%","2,702","84,623","73,952","24,027","{1.47}","{0.8}","{""1,231""}","{Sova}","{""447 hours""}","{835}","55.7%","{1.13}","Vandal","48%","Phantom","36%","Sunset","67.7%"
39,"angel ","12425","2,024h Playtime ","3,625 Matches ","870","416","1686","153.8","25.4%","51.9%","1,881","64,348","56,066","16,056","{1.43}","{0.8}","{781}","{Reyna}","{""488 hours""}","{872}","51.7%","{1.22}","Vandal","36%","Phantom","29%","Pearl","54.5%"
40,"G2 ShahZaM ","joona","4,940h Playtime ","8,680 Matches ","868","875","4199","163.7","25.6%","51.0%","4,424","165,272","136,512","37,958","{1.49}","{0.9}","{""2,059""}","{Jett}","{""2,401 hours""}","{""4,194""}","49.9%","{1.23}","Vandal","38%","Operator","10%","Sunset","57.0%"
41,"NOM ZNEVAA ","1111","3,310h Playtime ","5,860 Matches ","867","675","2792","148.0","25.3%","51.0%","2,990","100,432","95,969","26,903","{1.33}","{0.8}","{""1,119""}","{Jett}","{""978 hours""}","{""1,739""}","50.0%","{1.09}","Vandal","41%","Phantom","34%","Sunset","59.4%"
42,"Dark3st ","7489","2,498h Playtime ","4,517 Matches ","865","475","2111","151.1","27.7%","52.4%","2,367","77,111","70,824","24,406","{1.43}","{0.8}","{""1,054""}","{Reyna}","{""1,000 hours""}","{""1,814""}","51.7%","{1.12}",NULL,NULL,NULL,NULL,NULL,NULL
43,"PRX Jinggg ","Jing","2,222h Playtime ","4,125 Matches ","863","484","1634","176.9","22.3%","59.8%","2,467","83,093","65,173","20,703","{1.59}","{0.9}","{796}","{Raze}","{""1,102 hours""}","{""2,022""}","61.6%","{1.29}","Vandal","37%","Spectre","21%","Sunset","66.7%"
44,"k9lyos ","njr10","1,714h Playtime ","2,967 Matches ","839","366","1401","141.4","24.3%","51.3%","1,522","47,595","42,498","17,097","{1.52}","{0.8}","{992}","{Omen}","{""280 hours""}","{484}","49.0%","{1.11}",NULL,NULL,NULL,NULL,NULL,NULL
45,"SUP burzzy ","666","1,693h Playtime ","3,061 Matches ","862","598","1398","150.0","39.2%","53.4%","1,636","53,072","50,655","14,840","{1.34}","{0.8}","{514}","{Omen}","{""400 hours""}","{723}","53.3%","{1.04}","Vandal","53%","Ghost","57%","Fracture","59.0%"
46,"MOUZ Fizzy ","fizz","3,942h Playtime ","6,859 Matches ","878","838","2917","149.5","25.5%","56.1%","3,849","120,899","101,336","35,874","{1.55}","{0.8}","{""2,096""}","{Omen}","{""411 hours""}","{718}","57.8%","{1.21}","Vandal","42%","Phantom","36%","Sunset","64.2%"
47,"NFX 沖縄に行くために ","NOEZ","556h Playtime ","978 Matches ","857","146","410","189.5","25.2%","57.2%","559","20,588","14,621","4,544","{1.72}","{1.0}","{229}","{Reyna}","{""186 hours""}","{327}","54.4%","{1.45}","Vandal","33%","Sheriff","46%","Icebox","67.0%"
48,"wezzy ","369","1,534h Playtime ","2,843 Matches ","855","313","1271","156.5","31.9%","54.3%","1,544","50,966","46,444","11,400","{1.34}","{0.8}","{436}","{Jett}","{""633 hours""}","{""1,187""}","55.9%","{1.15}","Vandal","48%","Ghost","53%","Split","58.6%"
49,"só luid ","iwnl","3,434h Playtime ","6,048 Matches ","854","686","2952","141.3","25.4%","49.8%","3,012","96,840","90,860","28,693","{1.38}","{0.8}","{""1,574""}","{Jett}","{""545 hours""}","{964}","48.5%","{1.08}",NULL,NULL,NULL,NULL,NULL,NULL
50,"CASE Kiles ","JWrld","1,237h Playtime ","2,180 Matches ","870","439","905","143.7","34.4%","57.7%","1,258","37,080","31,074","9,553","{1.50}","{0.8}","{676}","{Cypher}","{""270 hours""}","{471}","55.8%","{1.17}","Vandal","47%","Phantom","43%","Haven","60.5%"
51,"MICKNUTTY333 ","meow","5,065h Playtime ","9,149 Matches ","861","919","4464","134.5","25.2%","50.1%","4,586","138,096","142,034","60,235","{1.40}","{0.7}","{""2,209""}","{Omen}","{""915 hours""}","{""1,650""}","51.9%","{0.97}",NULL,NULL,NULL,NULL,NULL,NULL
52,"Proxh ","cold","1,516h Playtime ","2,708 Matches ","851","403","1241","155.4","24.9%","53.2%","1,441","47,222","41,755","13,436","{1.45}","{0.8}","{650}","{Jett}","{""394 hours""}","{708}","54.8%","{1.20}",NULL,NULL,NULL,NULL,NULL,NULL
53,"bonita ","flora","1,808h Playtime ","3,253 Matches ","851","354","1567","159.9","24.4%","51.1%","1,662","59,941","52,403","12,145","{1.38}","{0.9}","{634}","{Jett}","{""1,142 hours""}","{""2,046""}","52.3%","{1.17}",NULL,NULL,NULL,NULL,NULL,NULL
54,"Kaaru ","ALIEN","2,004h Playtime ","3,596 Matches ","865","304","1749","148.3","25.9%","49.4%","1,775","61,330","59,236","14,540","{1.28}","{0.8}","{574}","{Jett}","{""593 hours""}","{""1,062""}","50.7%","{1.06}","Vandal","43%","Phantom","35%","Fracture","52.9%"
55,"GSR23 ","9881","2,856h Playtime ","5,065 Matches ","849","641","2330","151.4","26.9%","52.7%","2,667","85,450","79,912","23,301","{1.36}","{0.8}","{975}","{Jett}","{""746 hours""}","{""1,318""}","53.6%","{1.09}","Vandal","42%","Phantom","33%","Sunset","56.9%"
56,"CGN aNguiSt ","bot","1,573h Playtime ","2,778 Matches ","847","434","1174","166.9","35.4%","56.6%","1,572","54,617","40,723","11,435","{1.62}","{0.9}","{731}","{Sova}","{""213 hours""}","{379}","55.7%","{1.31}","Vandal","50%","Phantom","40%","Sunset","66.7%"
57,"Virtyy ","HIM","5,311h Playtime ","9,695 Matches ","847","997","4752","156.6","28.5%","49.9%","4,833","176,158","161,687","41,631","{1.35}","{0.8}","{""1,598""}","{Jett}","{""1,625 hours""}","{""2,986""}","50.4%","{1.14}","Vandal","42%","Phantom","34%","Icebox","52.4%"
58,"sunfloweR ","alya","1,655h Playtime ","2,914 Matches ","847","412","1356","141.6","24.1%","51.7%","1,506","45,185","43,147","16,347","{1.43}","{0.7}","{820}","{Sage}","{""201 hours""}","{347}","51.9%","{1.03}","Vandal","36%","Phantom","28%","Sunset","66.2%"
59,"mhotz ","mami","1,717h Playtime ","3,066 Matches ","847","420","1455","167.1","29.0%","50.9%","1,562","60,757","50,941","10,827","{1.41}","{0.9}","{585}","{Jett}","{""915 hours""}","{""1,624""}","52.1%","{1.22}",NULL,NULL,NULL,NULL,NULL,NULL
60,"slowlyyy ","ddxhl","720h Playtime ","1,325 Matches ","846","160","596","153.5","31.2%","53.8%","713","22,898","20,513","5,916","{1.40}","{0.8}","{273}","{Jett}","{""184 hours""}","{341}","59.2%","{1.16}","Vandal","43%","Sheriff","62%","Breeze","60.7%"
61,"YOU TS ","0225","300h Playtime ","531 Matches ","843","102","214","144.1","24.9%","59.1%","314","8,585","7,768","3,121","{1.51}","{0.8}","{130}","{Chamber}","{""44 hours""}","{78}","69.2%","{1.49}",NULL,NULL,NULL,NULL,NULL,NULL
62,"FS foxz ","toxic","2,400h Playtime ","4,369 Matches ","837","598","2091","146.8","27.1%","51.5%","2,249","72,561","68,862","22,234","{1.38}","{0.8}","{""1,009""}","{Sova}","{""544 hours""}","{988}","53.9%","{1.09}","Vandal","39%","Phantom","31%","Lotus","57.7%"
63,"BC DarkLight ","1337","2,232h Playtime ","3,958 Matches ","852","541","1794","141.4","24.6%","53.3%","2,110","63,976","57,068","22,334","{1.51}","{0.8}","{""1,308""}","{Omen}","{""340 hours""}","{611}","51.9%","{1.10}",NULL,NULL,NULL,NULL,NULL,NULL
64,"Eggsterr ","NJLTC","2,651h Playtime ","4,865 Matches ","836","577","2142","152.6","24.9%","55.2%","2,686","85,080","79,247","23,264","{1.37}","{0.8}","{912}","{Yoru}","{""2,415 hours""}","{""4,441""}","55.7%","{1.08}","Vandal","42%","Phantom","35%","Sunset","62.2%"
65,"C9 jakee ","julee","3,458h Playtime ","6,336 Matches ","814","773","2983","158.0","29.7%","51.9%","3,286","118,000","103,707","30,551","{1.43}","{0.9}","{""1,151""}","{Jett}","{""784 hours""}","{""1,419""}","52.3%","{1.17}","Vandal","43%","Phantom","35%","Sunset","58.4%"
66,"Martux ","meow","2,360h Playtime ","4,320 Matches ","807","416","2083","141.9","26.3%","50.9%","2,201","68,500","68,180","32,134","{1.48}","{0.8}","{923}","{KAY/O}","{""705 hours""}","{""1,289""}","49.3%","{0.98}",NULL,NULL,NULL,NULL,NULL,NULL
67,"crr ","2305","1,160h Playtime ","2,035 Matches ","831","232","910","142.1","24.8%","54.2%","1,102","33,569","30,030","11,406","{1.50}","{0.8}","{566}","{Omen}","{""182 hours""}","{323}","52.3%","{1.04}","Vandal","36%","Sheriff","54%","Breeze","58.4%"
68,"Nakya ","ilda","2,244h Playtime ","4,168 Matches ","830","508","1952","159.9","35.0%","52.5%","2,189","78,336","66,878","16,284","{1.41}","{0.9}","{711}","{Jett}","{""676 hours""}","{""1,255""}","53.2%","{1.20}","Vandal","48%","Sheriff","59%","Sunset","57.3%"
69,"SEN tarik ","1337","3,670h Playtime ","6,505 Matches ","830","635","2938","162.6","21.0%","54.2%","3,527","124,160","100,461","26,883","{1.50}","{0.9}","{""1,548""}","{Jett}","{""1,858 hours""}","{""3,298""}","55.7%","{1.27}",NULL,NULL,NULL,NULL,NULL,NULL
70,"NOM RARE ","vlr","831h Playtime ","1,470 Matches ","829","226","635","149.0","20.0%","55.4%","814","25,155","21,923","8,257","{1.52}","{0.8}","{401}","{Jett}","{""247 hours""}","{432}","52.8%","{1.21}","Vandal","29%","Operator","7%","Bind","59.0%"
71,"Prime pollo ","PEARL","2,664h Playtime ","4,648 Matches ","823","663","2187","153.0","25.2%","51.7%","2,402","83,679","69,157","20,787","{1.51}","{0.8}","{""1,399""}","{Jett}","{""616 hours""}","{""1,086""}","51.5%","{1.25}","Vandal","38%","Phantom","32%","Sunset","58.2%"
72,"Mind あ ","G1Ø","2,481h Playtime ","4,342 Matches ","823","644","2090","143.2","29.9%","50.3%","2,185","70,774","63,917","22,451","{1.46}","{0.8}","{""1,236""}","{Omen}","{""272 hours""}","{486}","51.4%","{1.08}","Vandal","44%","Phantom","36%","Breeze","57.2%"
73,"lil horhe ","Annee","2,154h Playtime ","3,934 Matches ","822","416","1842","164.3","26.5%","52.1%","2,051","75,448","66,145","16,143","{1.38}","{0.9}","{611}","{Jett}","{""1,021 hours""}","{""1,869""}","52.6%","{1.16}",NULL,NULL,NULL,NULL,NULL,NULL
74,"DVM keloqz ","10NEY","1,574h Playtime ","2,793 Matches ","822","415","1231","170.1","30.6%","55.0%","1,537","57,718","44,047","9,284","{1.52}","{1.0}","{526}","{Jett}","{""1,002 hours""}","{""1,785""}","56.0%","{1.34}",NULL,NULL,NULL,NULL,NULL,NULL
75,"Darxcio ","1TAP","4,373h Playtime ","7,891 Matches ","837","779","3731","154.5","32.1%","51.4%","4,053","140,070","132,446","32,509","{1.30}","{0.8}","{""1,147""}","{Jett}","{""1,245 hours""}","{""2,249""}","52.7%","{1.11}","Vandal","46%","Phantom","38%","Fracture","54.6%"
76,"BC nayte ","0909","2,024h Playtime ","3,614 Matches ","822","394","1614","155.2","26.1%","54.3%","1,964","66,056","55,047","15,105","{1.47}","{0.9}","{963}","{Jett}","{""485 hours""}","{866}","52.8%","{1.23}",NULL,NULL,NULL,NULL,NULL,NULL
77,"123123123123123 ","BONK","1,891h Playtime ","3,411 Matches ","821","453","1648","151.2","33.9%","50.6%","1,726","59,605","52,229","14,393","{1.42}","{0.8}","{767}","{Jett}","{""399 hours""}","{720}","48.8%","{1.18}","Vandal","51%","Operator","10%","Sunset","53.4%"
78,"OAS kellyS ","SNCD1","2,431h Playtime ","4,378 Matches ","819","557","2056","158.4","22.0%","52.2%","2,287","78,637","69,467","20,655","{1.43}","{0.8}","{943}","{Raze}","{""1,101 hours""}","{""1,980""}","53.3%","{1.16}",NULL,NULL,NULL,NULL,NULL,NULL
79,"toghril ","pain","2,077h Playtime ","3,680 Matches ","818","471","1740","149.3","23.4%","50.9%","1,872","62,518","57,249","15,628","{1.37}","{0.8}","{739}","{Jett}","{""936 hours""}","{""1,638""}","51.4%","{1.12}","Vandal","33%","Operator","9%","Pearl","59.4%"
80,"VIT runneR ","1tap","1,692h Playtime ","3,033 Matches ","816","403","1213","155.4","24.1%","59.2%","1,795","52,277","44,727","16,441","{1.54}","{0.8}","{730}","{Raze}","{""417 hours""}","{746}","65.5%","{1.26}","Vandal","38%","Phantom","29%","Sunset","72.6%"
81,"SEN curry ","66666","2,447h Playtime ","4,494 Matches ","815","526","1757","159.2","26.9%","60.5%","2,718","81,153","67,663","26,971","{1.60}","{0.9}","{""1,067""}","{Sova}","{""278 hours""}","{518}","60.6%","{1.20}","Vandal","41%","Phantom","33%","Lotus","67.0%"
82,"Secret BORKUM ","1202","1,919h Playtime ","3,435 Matches ","813","654","1649","137.3","22.1%","51.3%","1,763","53,753","50,944","23,313","{1.51}","{0.7}","{""1,052""}","{Omen}","{""552 hours""}","{984}","50.8%","{1.06}","Vandal","31%","Phantom","28%","Fracture","56.8%"
83,"twitch nightz1x ","aim","2,353h Playtime ","4,332 Matches ","812","453","2024","156.0","34.9%","52.1%","2,259","76,765","68,981","16,951","{1.36}","{0.8}","{872}","{Reyna}","{""790 hours""}","{""1,473""}","51.9%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
84,"2G spikeziN ","ayra","4,872h Playtime ","8,689 Matches ","811","905","3936","154.7","24.2%","53.3%","4,627","153,213","134,653","46,498","{1.48}","{0.8}","{""2,261""}","{Viper}","{""750 hours""}","{""1,328""}","54.2%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
85,"Lanerinno ","8014","3,185h Playtime ","5,633 Matches ","810","555","2655","147.2","26.8%","51.7%","2,913","95,850","86,129","28,944","{1.45}","{0.8}","{""1,246""}","{Sage}","{""1,148 hours""}","{""2,035""}","53.4%","{1.12}","Vandal","39%","Phantom","32%","Pearl","62.6%"
86,"CharlieMurphy05 ","SEC5","873h Playtime ","1,535 Matches ","788","167","699","128.4","17.4%","53.2%","816","22,570","22,759","12,914","{1.56}","{0.7}","{548}","{Brimstone}","{""451 hours""}","{798}","54.4%","{0.98}","Phantom","25%","Spectre","18%","Pearl","61.8%"
87,"ComeBack ","Aegon","3,258h Playtime ","5,867 Matches ","808","678","2696","158.1","23.9%","52.5%","3,079","109,511","94,256","20,002","{1.37}","{0.9}","{""1,132""}","{Jett}","{""1,646 hours""}","{""2,977""}","54.2%","{1.21}",NULL,NULL,NULL,NULL,NULL,NULL
88,"theDoctorr ","0000","4,329h Playtime ","7,879 Matches ","806","851","3947","136.5","29.4%","49.3%","3,883","122,255","120,387","45,984","{1.40}","{0.7}","{""1,997""}","{Sova}","{""1,085 hours""}","{""1,994""}","50.4%","{1.01}",NULL,NULL,NULL,NULL,NULL,NULL
89,"Iceyyy ","LTZH","2,794h Playtime ","5,117 Matches ","805","626","2498","159.1","23.7%","50.2%","2,571","92,242","81,581","25,415","{1.44}","{0.9}","{""1,146""}","{Jett}","{""854 hours""}","{""1,569""}","48.2%","{1.18}",NULL,NULL,NULL,NULL,NULL,NULL
90,"real ","tim","2,516h Playtime ","4,642 Matches ","805","538","2208","139.2","23.5%","51.9%","2,411","73,376","71,250","21,800","{1.34}","{0.7}","{""1,095""}","{Jett}","{""857 hours""}","{""1,584""}","53.3%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
91,"jrmzie ","erza","2,180h Playtime ","3,873 Matches ","802","503","1837","144.0","33.8%","51.7%","2,003","63,464","57,655","21,718","{1.48}","{0.8}","{990}","{Chamber}","{""288 hours""}","{509}","54.6%","{1.19}","Vandal","48%","Sheriff","60%","Sunset","60.9%"
92,"FUT yetujey ","star","2,290h Playtime ","4,072 Matches ","802","560","1853","149.7","28.4%","53.2%","2,168","70,958","59,257","20,260","{1.54}","{0.8}","{""1,224""}","{Cypher}","{""299 hours""}","{528}","52.8%","{1.17}",NULL,NULL,NULL,NULL,NULL,NULL
93,"C9 LF SARANG 사랑 ","ALONE","3,081h Playtime ","5,629 Matches ","802","616","2349","169.3","28.4%","57.3%","3,225","113,987","90,532","24,518","{1.53}","{0.9}","{""1,009""}","{Jett}","{""1,021 hours""}","{""1,869""}","57.6%","{1.31}","Vandal","46%","Phantom","39%","Sunset","62.9%"
94,"APEKS AvovA ","Auni","1,897h Playtime ","3,330 Matches ","801","479","1313","153.2","30.1%","59.6%","1,984","60,161","48,067","19,260","{1.65}","{0.8}","{""1,068""}","{Omen}","{""499 hours""}","{889}","59.7%","{1.25}",NULL,NULL,NULL,NULL,NULL,NULL
