"id","username","tag","playtime","matches","rating","level","loses","damage_round","headshot","win","wins","kills","deaths","assists","kad_ratio","kills_round","clutches","top_agents_1","top_hours_agent_1","top_matches_agent_1","top_win_agent_1","top_kd_agent_1","top_weapon_1","top_weapon_headshot_1","top_weapon_2","top_weapon_headshot_2","top_maps_1","top_porcentagem_map_win_1"
1236,"GRY Kohli ","1704","5,820h Playtime ","10,367 Matches ","530","949","5060","135.9","22.1%","50.0%","5,186","154,426","159,674","67,665","{1.39}","{0.7}","{""2,947""}","{Sova}","{""1,332 hours""}","{""2,415""}","51.0%","{0.97}","Phantom","30%","Vandal","35%","Sunset","57.8%"
1237,"ZRIP ","14166","2,575h Playtime ","4,655 Matches ","530","524","2256","151.3","23.1%","50.5%","2,350","77,591","74,539","27,334","{1.41}","{0.8}","{991}","{Raze}","{""752 hours""}","{""1,346""}","52.7%","{1.07}",NULL,NULL,NULL,NULL,NULL,NULL
1238,"Liquid keiko ","lili","1,219h Playtime ","2,225 Matches ","530","375","872","170.8","33.2%","60.0%","1,335","44,186","34,112","7,950","{1.53}","{0.9}","{430}","{Jett}","{""420 hours""}","{781}","61.2%","{1.33}","Vandal","48%","Sheriff","63%","Pearl","64.3%"
1239,"Ozsms ","BC0","2,959h Playtime ","5,356 Matches ","530","657","2551","150.5","27.2%","51.4%","2,751","90,346","83,305","29,571","{1.44}","{0.8}","{""1,451""}","{Jett}","{""680 hours""}","{""1,238""}","51.8%","{1.15}","Vandal","41%","Sheriff","54%","Pearl","54.9%"
1240,"naekoz ","000","2,255h Playtime ","4,024 Matches ","530","387","1921","143.4","26.2%","51.0%","2,052","64,499","62,921","18,605","{1.32}","{0.8}","{868}","{Reyna}","{""570 hours""}","{""1,029""}","49.9%","{1.04}","Vandal","40%","Phantom","34%","Sunset","57.5%"
1241,"Colors soren ","1506","2,049h Playtime ","3,658 Matches ","530","457","1754","150.0","34.1%","51.0%","1,865","64,646","58,251","12,761","{1.33}","{0.8}","{742}","{Jett}","{""1,006 hours""}","{""1,792""}","52.1%","{1.15}",NULL,NULL,NULL,NULL,NULL,NULL
1242,"nothing ","32111","2,150h Playtime ","3,943 Matches ","530","426","1850","153.4","27.6%","52.2%","2,059","66,920","62,341","19,351","{1.38}","{0.8}","{757}","{Jett}","{""591 hours""}","{""1,082""}","51.6%","{1.11}",NULL,NULL,NULL,NULL,NULL,NULL
1243,"Johnny ","LGN","2,530h Playtime ","4,479 Matches ","552","725","2165","144.4","24.2%","50.1%","2,242","74,827","67,520","24,005","{1.46}","{0.8}","{""1,276""}","{Sova}","{""605 hours""}","{""1,076""}","51.3%","{1.10}","Vandal","35%","Phantom","29%","Sunset","54.8%"
1244,"TE heybay ","0316","1,491h Playtime ","2,691 Matches ","530","579","1293","147.0","28.5%","50.8%","1,368","46,536","41,609","10,478","{1.37}","{0.8}","{636}","{Jett}","{""568 hours""}","{""1,020""}","52.3%","{1.16}","Vandal","39%","Phantom","36%","Pearl","56.8%"
1245,"asphyxia ","rbn","2,902h Playtime ","5,263 Matches ","530","642","2455","150.7","24.3%","52.1%","2,743","91,063","86,967","20,188","{1.28}","{0.8}","{895}","{Jett}","{""980 hours""}","{""1,765""}","52.1%","{1.06}",NULL,NULL,NULL,NULL,NULL,NULL
1246,"CC Carnage ","太阳爱","2,986h Playtime ","5,398 Matches ","529","711","2604","148.6","29.9%","50.4%","2,718","93,996","87,661","21,621","{1.32}","{0.8}","{""1,020""}","{Jett}","{""756 hours""}","{""1,360""}","50.7%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
1247,"madcon ","csgo","3,634h Playtime ","6,596 Matches ","529","684","3175","145.3","33.1%","50.7%","3,343","111,379","101,617","33,017","{1.42}","{0.8}","{""1,666""}","{Reyna}","{""512 hours""}","{917}","52.0%","{1.16}",NULL,NULL,NULL,NULL,NULL,NULL
1248,"SK Meddo ","123","1,078h Playtime ","1,898 Matches ","529","338","827","150.8","28.7%","55.1%","1,046","33,367","26,124","8,487","{1.60}","{0.8}","{726}","{Killjoy}","{""278 hours""}","{489}","55.8%","{1.35}",NULL,NULL,NULL,NULL,NULL,NULL
1249,"KnightVoice ","GOD","1,984h Playtime ","3,538 Matches ","529","457","1704","144.5","26.5%","50.6%","1,790","57,396","54,434","19,032","{1.40}","{0.8}","{751}","{Raze}","{""484 hours""}","{855}","52.7%","{1.14}",NULL,NULL,NULL,NULL,NULL,NULL
1250,"mindflay ","666","1,264h Playtime ","2,269 Matches ","529","260","1115","143.4","34.9%","50.0%","1,135","36,804","33,414","11,023","{1.43}","{0.8}","{621}","{Reyna}","{""294 hours""}","{533}","53.8%","{1.17}","Vandal","47%","Sheriff","56%","Icebox","54.0%"
1251,"GTZ Kayn ","12k","1,696h Playtime ","2,962 Matches ","529","410","1436","144.4","26.1%","49.8%","1,475","47,650","47,255","15,944","{1.35}","{0.8}","{578}","{Omen}","{""298 hours""}","{511}","52.1%","{0.98}","Vandal","37%","Phantom","31%","Sunset","56.3%"
1252,"aren ","8888","2,271h Playtime ","4,111 Matches ","529","432","1991","140.8","21.9%","50.3%","2,066","64,725","65,386","20,306","{1.30}","{0.7}","{820}","{Jett}","{""738 hours""}","{""1,335""}","50.9%","{1.02}","Vandal","34%","Phantom","26%","Split","56.1%"
1253,"XIA aLerT ","sucoF","1,961h Playtime ","3,507 Matches ","529","491","1756","138.4","27.5%","49.6%","1,738","55,969","52,319","18,383","{1.42}","{0.7}","{""1,162""}","{Sova}","{""249 hours""}","{453}","53.4%","{1.05}",NULL,NULL,NULL,NULL,NULL,NULL
